word,Sanskrit,Hindi,Odiya
लेख,ग्रीवा हस्त पादे प्रशस्ता लेखा यस्य सः ।,सांसारिक पदार्थों को आकार रूप देनेवाले ।,सांसारिक पदार्थ गुडिकु आकार तथा रूप यिए दिए । रूपदा
अदितिनन्दन,अदितेः नन्दनाः अदितिनन्दनाः ।,अदिति के पुत्र।,अदिङ्कर पुत्र ।  अदितिपुत्र
आदित्य,अदितेः अपत्यानि आदित्याः । देवः ।,अदिति के पुत्र।,अदितिङ्कर पुत्र ।  अदितिपुत्र
आदित्य,अदितेः अपत्यं आदित्यः गणदेवः ते द्वादश   इन्द्र  धाता  पर्जन्य  त्वष्टा  पूषा,आदिति का पुत्र।,अदितिङ्कर पुत्र । अदितिपुत्र
आदित्य,अर्यमन्  भगन्  विवस्वन्त  विष्णु  अंशुमन्त  वरुण  मित्र ।,पूषा अर्यमन् भग विवस्वन्त विष्णु अशुमन्त वरूण मित्र।,त्वष्टा   पूषा   अर्यमन्   भग   विवश्वन्त   विष्णु   अशुमन्त   वरुण । मित्र ।
आदित्य,अदितेरपत्यं पुमान् आदित्यः ।,बारह आदित्यों का समुदायवाचक नाम।  गणदेव  जैसे  इन्द्र धाता पर्जन्य त्वष्ट,बार आदित्यङ्कर समुदायवाचकनाम ।  गणदेव  यथा   इन्द्र   धाता   पर्जन्य
ऋभु,आ अदितिः ऋशब्दस्य प्रथमैकवचने आ इति रूपं तस्यां भवन्तीति वा ऋभवः । देवः ।,स्वर्ग में होने वाले।,स्वर्गरे यिए हुए ।  स्वर्गभू
अस्वप्न,नास्ति स्वप्नो निद्रा यस्य स अस्वपनः । देवः ।,स्वप्नादि निन्दा जिसका नहीं है ।,याहार स्वप्नादि  निन्दा  नाहिं ।  स्वप्नरहित
अमर्त्य,न म्रियते इति अमर्त्यः । देवः ।,जो मरणाधर्मा न हो । दिव्य  अविनाशी,मरन्ति नाहिं यिए ।  मरमरहित
अमृतान्धस्,अमृतं अन्धोन्नम् यस्य सः अमृताब्धस्  देवः  अन्ध धातोः ।,अमृत जिनका अन्न ।,अमृत येउँमानङ्कर अन्न । अमृतान्नी
क्रतुभुज्,क्रतौ भुंजन्त इति क्रतुभुजः । देवः ।,यज्ञों को भक्षण करने वाले  क्रतु यज्ञ   यज्ञभुक्,यज्ञ कु यिए भक्षण करे  क्रतु   यज्ञ ।  यज्ञाभुक्
गीर्वाण,गिरं वणति व्याकरोतीति गीर्वाणः । गीः वाणो यस्य इति वा । गिरं वनतीति वा ।,जिसका निग्रहानुग्रहसमर्थ  गीः वाक् वाण जैसा ।,याहार निग्रहानुग्रहसमर्थ वाग्वाण येपरि ।  वाग्वाण
दानवारि,दानवानां अरिः दानवारिः । देवः ।,दानवों का दुस्मन  शत्रु ।,दानव मानङ्कर यिए शत्रु । दानवशत्रु
वृन्दारक,शोभनं बृन्दं यस्य स वृन्धारकः । देवः ।,शोभन दल जिसका ।,शोभन दल याहार ।  शुदल
दैवत,देवा एव देवताः । देवः ।,देव हि देवता।,देव हिँ देवता। दैव
देवता,देव एव देवता । देवता,देवता हिं दैवत।,देवता हिं दैवत । दैव
विश्व,विशन्ति कर्मास्विति विश्वे ।,पुरूरवा माद्रव यह `विश्व  के पुत्र समझे जाते है। विश्वदेव,पुरूरवा मादव यिए विश्वाङ्कर पुत्र भावे वुझा यान्ति ।  विश्वदेव
विश्व,विश्वे  श्राद्धाग्रे विशन्तीति विश्वेदेवाः । गणदेवताः । ते दश ।,प्रत्येक दस देवों का समूह जैसे  वसु सत्य क्रतुर्दक्ष काल काम धृति कुरू,प्रत्येक दस देवों का समूह यथा   वसु   सत्य   क्रतुर्दक्ष   काल   काम   धृति   कुरू
वसु,आहत्य वसंतीति वसुः । गणदेवता ते अष्ट आप  धुव  सोम   अष्टवक. अनिल,आहरण करके यो रहते है । दौलत  धन इत्यादि  आहारक,अनिल   अनल   प्रत्यूष   प्रभास ।  गणदेव
वसु,प्रत्यूष  अनल  प्रभास ।,एक देव समूह  इस अर्थ में यो गिनती में आठ हैं आप ध्रुव सोम घर,"आहारण करि यिए रहिथाए ।  धन, दौलत् इत्यादि   आहारक"
तुषित,तुष्यतीति तुषितः । गणदेवताः । ते षट्‌विंशत् ।,देवताओं का समूह जोगिनती में 36 कहे जाते है । गणदेव,39 देवलाङ्कर समूहकु तुषित कुहायाए ।  गणदेव
अनिल,अन्यते प्राण्यते लोकाः अनेन इति अनिलः ।,लाने वाला या प्राप्त करवाने वाला। जो संरव्या में 49 हैं। देवताऔं का समूह।,47 देवताङ्र समूह कु अनिल कुहायाए ।  गणदेव
अनिल,इलायां न चरतीति अनिलः । गणदेवताः ते एकेनपञ्चशत् ।,इसके द्वारा साँस  प्रश्वास लिये जाने से अनिल वायु ।,अणिबा बाला अथवा प्राप्त येउँमाने कारान्ति ।
महाराजिक,महती राजिः पङ्क्तिः यस्य सः महाराजिकः । गणदेवताः ।,जो संरव्या में 220 है । गणदेव,यिए संरव्यारे 220 अटन्ति ।  गणदेव
महाराजिक,महाराज देवता अस्ति यस्य सः महाराजिक  पाठान्तरम्  गणदेवताः । ते,महान पङ्‌क्ति वाले।,लम्बा धाडि श्रेणी   राजि   पङ्क्ति  बाला ।  महापङ्क्ति
साध्य,धर्म  नारायण प्रभृतयः ।,कार्यान्वित होने योग्य या किया जाने योग्य। सिद्ध किये जाने योग्य।,कार्यान्वित हेबा योग्य अथवा याहा करायिबा योग्य । याहा सिद्ध करायिवा योग्य अटे ।
साध्य,साध्यं सिद्धिः यस्य अस्तीति साध्यः गणदेवः । ते द्वादश   मनु हनुमन्त  विष्णु,जो गिनती में 92 देवताओं का समूह कहे जाते हैं। गणदेव,याहाकु 92 दैबताङ्कर समूहात्मक कुहायाए ।  गणदेव
रुद्र,अहिर्बुध्न  त्वष्ट ।,जो गिनती में 99 देवताओं का समूह। गणदेव,"भयानक होइथिबारु अथवा कन्दाउथिबारु, भीषण   भयंकर होइथिवारु ।"
रुद्र,रुजं दुःखं द्रावयतीति रुद्रः ।,भयानक होने से या रोदन करवाने वाले। भीषण भयंकर होने सें।,याहा 99 देवताङ्कर समूह अटे ।  गमदेव
रुद्र,रुतं वेदात्मकं शब्दं कल्पादौ रुसतीति रुद्रः । ते एकादश   अज  एकपाद,अपने आप रोदन करने से रूद्र शिव ।,निजकु निजे रोदन करिबा कारणरु   शिव ।
रुद्र,रोदयन्ति दुष्टान् इति रुद्राः ।,रोदन कराने वाले से रुद्र शिव ।,रोदन कराउथिबारु  शत्रुकु  रुद्र   शिव
रुद्र,प्राप्तजन्मपरिसहोसौ रुरोदेति पुराण प्रसिद्धेः । रुं रोदनं द्रावयतीति वा ।,रोदन हटाने वाले से रूद्र शिव।,रोदन दुरकरुथिबारु   रुद्र   शिव।
विद्याधर,धारतीति धरः  विद्यायाः धरः विद्याधरः ।,विद्या को धारण करने वाला ।,विद्या कु धारण करिथिवा बाला ।  देवयोनि
अप्सरस्,अद्भयः सरतीति अप्सरस् । ऊर्वशी प्रभृतयः अप्सरस्त्रियः । देवयोनिः ।, अपसर  स्त्री में अपसरा   देवयोनि,जालरु इद्भव हेवा वाला ।
अप्सरस्,अद्भयः सरसः निर्गता इति अप्सरस् । देवयोनिः ।,जल  पानि  से उभ्दव होने वाला।,"प्रस्तान करुथिबा, पलायन करुथिबा, अथवा अल्पसमय पाइँ थिबा सरियाउथिबा  अपसर,"
अप्सरस्,अद्भ्यः सरन्तीति अप्सरसः । अपसारयन्ति स्खालयन्ति धैर्यात् सर्वानिति अप्सरसः ।,प्रस्थान करने वाला या पलायन करने वाला अथवा वापिस चलने वाला,स्त्रीरे अपसरा  देवयोनि
अप्सरस्,आप्यन्ते प्राप्यन्ते पुण्यकृद्भिरिति वा अप्सरसः ।,जल  पानि से उद्भव होने वाला ।,जलरु उभ्दव होबा बाला ।
यक्ष,यक्ष्यते पूज्यते इति यक्षः । देवयोनिः ।,जो धनसंपत्ति के देवता कुबेर के सेवक हैं तथा उसके कोष और उद्यानों की रक्षा करते हैं।,"यिए, धनसंपत्तिरदेवता कुबेरङ्कर सेबक तथा ताङ्क कोष एबं अद्यानकु रक्षा करन्ति ।  देबयोनि"
यक्ष,यक्ष्यते पूज्यते इति यक्षः । कुबेरः । यक्षजातित्वात् वा यक्षः ।,यक्ष पूज्य होने से या जाति होने से कुवेर ।,पूज्य हेवा कारणरु अथबा जाति हेबा कारणरु यक्ष   कुवेर ।
रक्षस्,अन्येभ्यो इति रक्षस् ।,इन से रक्षा किया जाए  धर्म पुण्य स्वर्गादि   रक्ष   देवयोनि,एमानङ्कठारू रक्षा करायाए बेलि    ध्रम   पूण्य   स्वगादि  एमाने रक्ष  देबयोनि
रक्षस्,यज्ञेभ्यो रक्ष्यत इति रक्षस् । देवयोनिः । विभाषणादयः राक्षसाः । रक्षति,राक्षसों का रक्षक होने से रक्षस् ।,राक्षस मानंकर रक्षक हेबा कारणरु   रक्षस् । राक्षस ।
गन्धर्व,गन्धं सौरभं अर्वति इति गन्धर्वः । देवयोनिः । गानं धारयतीति गन्धर्वः ।,गाना धारण करने वाला। सौरभ प्रप्त करने वाला । सौरभ प्रसार करने वाला । गन्धर्व देवयोनि,गीन यिए धारण करिथाए। सौरभकु यिएपाअ थाए । सौरभकु यिए प्रसार कर्थार ।  देवयोनि
किन्नर,किंचित् नरः किन्नरः । ते अश्वमुखादयः । अश्वमुखात् कुत्सिताः नरः किन्नरः ।,विकृत या बुरा लोग  पुराणोक्त पुरूष जिसका सिर घोंडे का हों तथा,"बिकलांग, बिकृत, कुत्सित लोक । पुराण अनुसारे याहार मुख अख मुख परि एवं"
किन्नर,किञ्चिन्नरः किन्नरः । कुत्सितो नरोवा किन्नरः ।,शेष शरीर मनुष्यका। अश्वमुख   देवयोनि,शरीर मनुष्य परि ।  अश्वमुख   देबयोनि
पिशाच,पिशितं अश्नाति इति पिशाचः । देवयोनिः ।, दुष्टप्राणी   देवयानि   गंधमांस खाने वाला,"याहार कौणसि उत्तम स्तान   खाद्य   भाष   अत्यादि न थाए ।  भूत, प्रेत,"
गुह्यक,निधिं गूहतीति गुह्यकः ।,जो कुबेर के सेवक तथा उसके कोष के संरक्षक हैं जैसी यक्ष। गुप्त रक्षा करने वाले।,गुप्त रक्षा यिए करे ।  देबयोनि
सिद्ध,अणिमादि सिद्धिः अस्यास्तीति सिद्धः देवयोनिः । विश्वावसु प्रभृतयः सिध्यतीति,जिसमें आठ अणिमलघिमादि  सिद्धियाँ हों।,अष्ट सिद्धि अच्छि ।  देबयोनि
सिद्ध,सिद्धिः ।,सिद्धि इनका होने से जो अत्यंत पवित्र और पुण्यात्मा माने जाते हैं,"सिद्धि याहार थाए । यिए अत्यन्त पबित्र एवं पुण्यात्मा अटन्ति, याहार अणिमालधिमादि"
भूत,इष्टम् प्राप्नोति इति भूतः । देवयोनिः ।,समृद्धि या अच्छा भाग्य वाला जिसका अस्तित्व है।,भल भाग्य बाला यिए ।  भाग्यबान   देबयोनि
असुर,असुना रात्रौ सृष्टा वा ।,जिनका सुरा नहीं है। सुरों से अलग। देवताओं का शत्रु। यज्ञ भागों से निरस्त होने वाला। असुर।,देवताङ्कर शत्रु । यज्ञ भागरू यिए निरस्त हुअन्ति । असुर ।
दैत्य,दितेरपत्यं दैत्यः । असुरः ।,दिति के पुत्र। दितिपुत्र  असुर।,दितिङ्कर पुत्र ।  दित्पुत्र    असुर ।
दैतेय,दितेरपत्यं दैतेयः । असुरः ।,दिति का पुत्र। दितिपुत्र  असुर।,दितिङ्कर पुत्र ।  दितिपुत्र    असुर ।
दनुज,दनोदनौ वा जातः दनुजः ।,दनु का पुत्र। दनुपुत्र  असुर।,दनुर पुत्र ।  दनुपुत्र    असुर ।
इन्द्रारि,इन्द्रस्य अरिः इन्द्रारिः । असुरः ।,इन्द्र के शत्रु। इन्द्रशत्रु  असुर।,इन्द्रङ्कर शत्रु ।  इन्द्रशत्रु  असुर ।
दानव,दनोरपत्यं दानवः ।,दनु का पुत्र। दनुपुत्र  असुर।,दनुर पुत्र ।  दनुपुत्र     असुर ।
शुक्रशिष्य,शुक्रस्य शिष्यः शुक्रशिष्यः । असुरः ।,असुरों का गुरू शुक्राचार्य के शिष्य। शुक्र के शिष्य।,असुरमानेक गुरु शुक्राचार्यंक शिष्य ।
दितिसुत,दितेः सुतः दितिसुतः । असुरः ।,दिति का पुत्र। दितिपुत्र  असुर।,द्तिङ्कर पुत्र ।  दितिपुत्र  असुर ।
पूर्वदेव,अनीतिवशात् देवत्वाद्‌भ्रष्टाः इति ।,पहले से देवपद में रहने वाला।,पूर्बे देबपदरे थिबा बाला   असुर  ।
सुरद्विष्,सुरान्‌ द्विषन्तीति सुरद्विषः । असुरः ।,देवताओं को द्वेष करने वाला। देवद्वेषि  असुर,देबतांकु द्वेष करूथिबा बाला    दवद्वेषि   असुर
सर्वज्ञ,सर्वं जानाति इति सर्वज्ञः । बुद्धः ।,जो सव जानते हैं समझते हैं। बुद्ध,यिए सबु जाणे बुझे ।  सर्वजाम    बुद्ध
सर्वज्ञ,सर्वं जानातीति सर्वज्ञः । शिवः ।,जो सव जानने वाले।,सबु जाणिबा बाला   सर्वज्ञ   शिव ।
सुगत,सु शोभनं गतं ज्ञानं अस्य सुगतः । बुद्धः ।,अच्छा ज्ञान वाले। जो मोक्ष पाते हैं। सुज्ञानि  मुक्त  बुद्ध ।,उत्तम रज्ञान अच्छि याहार    सुज्ञानि
बुद्ध,प्रशस्ता बुद्धिः यस्य सः बुद्धः ।,ज्ञात या समझा हुआ प्रत्यक्ष किया हुआ।,जगत कु यिए अनित्य   क्षणिक   अलिक बुझन्ति ।  बुद्ध
बुद्ध,सर्वं क्षणिकं बुध्यत इति बुद्धः ।,प्रसस्त बुद्धि वाले।,प्रस्स्त अथवा बिस्तार बुद्धि बाला ।  प्रसस्त बुद्धि    बिस्तार बुद्धि
धर्मराज,धर्मस्य संसारोद्धरणादेः राजा धर्मराजः ।,धर्म के दृष्टि से कर्तव्य  जाति  सम्प्रदाय आदि के प्रचलित आचार का पालन जो करते हैं।  धर्मराज, धर्मराज   बुद्ध
धर्मराज,धर्मस्य सत्याहिंसादेः राजा धर्मराजः । बुद्धः ।,धर्म सत्याहिंसा आदि के जो राज। धर्मराज   बुद्ध,धर्म दृष्टिरू   कर्तव्य   जाति   समप्रदाय   अदि चलुथिबा आयाकु यिए पावन करे ।
धर्मराज,धर्मेण राजते इति धर्मराजः ।,धर्म का राज धर्मराज अपराधदण्डदानों से  यम ।,धर्मर राज   धर्मराज  अपराध दण्डदानरू  यम ।
तथागत,अस्य तथागतः । बुद्धः ।,जैसे पुनरावर्तन नहीं होता वैसे मोक्ष प्राप्ति करना । जिसका सम्यक ज्ञान है।,याहार से ह्परि सम्यक ज्ञान अछि ।  बुद्ध
समन्तभद्र,ज्ञानसंभाराच्च भद्रः श्रेष्ठः समन्तभद्रः ।,सब ओर पूर्णरूप से  जो संपूर्ण मंगलमय हैं। पुण्यज्ञानादि दृष्टि से श्रेष्ठ भद्र ।,पूण्यज्ञानादि दृष्टिरु श्रेष्ठ   भद्र ।  बुद्ध
भगवत्,ज्ञानवैराग्ययोश्चैव षण्णां भग इति स्मृतः ।,सम्मानित  श्रद्धेय  दिव्य  पवित्र  यशस्वी  प्रसिद्ध तथा माहात्म्य भग जिनका हैं।,"सम्मानित, श्रद्धेय, दिव्य, पवित्र , यशस्वी, प्रसिद्द तथा माहत्म्य भग जिनका है ।  बुद्ध"
मारजित्,तान् माशन् जयतीति वा मारजित् ।,मार को जय करने वाले।,मारकु कामक्रोधादीकु जय करिबा हेउछि  बुद्ध ।
लोकजित्,लोकं तपसा जयतीति लोकजित् । बुद्धः ।,लोकों को तपस्यद्वारा  जय करने वाले। बुद्ध।,लोक कु यिए जय करिछि ।  बुद्ध
जिन,जयति भवं जिनः । बुद्धः ।,किसी वर्ग प्रमुख जैसे जैनसाधु या तीर्थंकंर। बुद्ध,कौणसि धर्मसम्प्रदायर मुल्व्य   यथा   जैनसाधु अथबा तीर्थंकर ।  बुद्ध  ।
षडभिज्ञ, अप्रत्यक्षविषयज्ञानं वियद्गमनागमनव्यूहादिलक्षणानि यस्य सः षडभिज्ञः । बुद्धः ।,दिव्यदृष्टि दिव्यश्रोत्र पूर्वमिवासानुस्मृति परिचितज्ञान अप्रत्यक्षविषयज्ञानादिनादि जिनका हैं। बुद्ध,दिव्यदृष्टि   दिव्यक्षोत्र   पूर्वनिवासानुस्मृति परिचित ज्ञान अप्रत्यक्षविषयज्ञानादि
षडभिज्ञ,दिव्यदृष्टि दिव्यश्रोत्रं पूर्वनिवासानुस्मृति परचित्तज्ञानं,वेद के घः अंगों को जानने वाले।,बेदर घ अंगकु जाणिबा बाला ।  बुद्ध
दशबल,उपायः प्राणीधिः ज्ञानं दश बुद्धबलानि वै इति ।,बुद्धि क्षान्ति दान शील वीर्य ध्यान ज्ञान कृपा वल उपाय दश वलों जिनका।,बुद्धि श्रान्ति  दान   शील   वीर्य  ध्यान ज्ञान   कृपा  वल उपाय एहि दश वल याहार । बुद्ध
अद्वयवादिन्,अद्वयं अद्वैतं वदति अवश्यं इति अद्वयवादी ।,द्वैत का अभाव विश्व और ब्रह्म तथा प्रकृति एवं आत्मा के तादात्म्य ऐक्य का प्रतिपादक। ?????,"न द्वैत अद्वैत, विश्व एवं ब्रह्म तथा प्रकृति एवं आत्मार तादात्म्य, ऐक्यर प्रतिपादक ।  बुद्ध"
विनायक,सर्वान्‌ विनयति हितमनुशास्ति इति विनायकः । बुद्धः ।,किस धर्मसम्प्रदाय जैसे बुद्ध धर्म का देवरूप अध्यापक। बुद्ध,कौणसि धर्मसर्म्प्रदाय यथा बुद्ध धर्म का देबरुप अध्यापक ।  बुद्ध
विनायक,विगतो नायकः प्रभुर्यस्य विनायकः ।,सव को विनय  हितानुशासन देने वाले।,"समस्तङ्कु विनाय, ह्तानुशासन दबा बाला ।  बुद्ध"
विनायक,विनयति शिक्षयति दुष्टान्‌ विघ्नांश्चेति विनायकः,विगत नायक प्रभु जिसका विनायक गणेश ।,विगत नायक प्रभु याहार  विनायक   गणेश ।
विनायक,विनयतीति विनायकः ।,विघ्नबाधाओ के हटाने वाला विनायक ।,विध्नबाकु हटाइबा बाला   विनायक ।  गणेश
विनायक,विशिष्टो नायक इति ।,विनयति दुष्टों शिक्षा देने से विनायक गणेश ।,विनयति   दुष्टमानंकु शिक्षादि देबा कारणरु विनायक   गणेश ।
मुनीन्द,मुनिषु इन्द्रः मुनीन्द्रः ।,मुनिओं में श्रेष्ठ।,मुनिमानंक मध्यरे यिए श्रेष्ठ ।  बुद्ध
श्रीघन,श्रिया योगविभूत्या घनः पूर्णः श्रीघनः । बुद्धः ।,श्री पूर्ण जो  श्रीधन।,लक्ष्मी पूर्ज यिए   श्रीधन ।  बुद्ध
शास्तृ,दुष्टान्‌ शास्ति शिक्षयतीति शास्ता । बुद्धः ।,बुद्ध धर्म का गुरू  आचार्य। बुद्ध,"बुद्ध धर्मर गुरु, आयार्य ।  बुद्ध"
मुनि,सर्वधर्माणां मननात् मुनिः । बुद्धः । मनुते इति मुनिः ।,सर्व धर्मो,"सबु धर्मकु, तत्वकु मनन करुथिबारु ।  बुद्ध"
शाक्यमुनि,यस्तु शकेषु जातः शाक्यमुनि बुद्धावतारः ।,शकप्रदश में जन्म पैदा होने वाले। बुद्ध,शक देशरे जन्म होइ थिबा ।  बुद्ध
